Interpacket Timing,Device
0.022001,ihealth_bpm
0.005499,ihealth_bpm
0.022005,ihealth_bpm
0.022002,ihealth_bpm
0.027504,ihealth_bpm
0.005501,ihealth_bpm
0.017144,ihealth_bpm
0.021423,ihealth_bpm
0.019196,ihealth_bpm
0.054985,ihealth_bpm
0.005509,ihealth_bpm
0.008245,ihealth_bpm
0.038505,ihealth_bpm
0.016502,ihealth_bpm
0.022003,ihealth_bpm
0.030274,ihealth_bpm
0.033002,ihealth_bpm
0.033005,ihealth_bpm
0.005521,ihealth_bpm
0.019236,ihealth_bpm
0.019249,ihealth_bpm
0.022005,ihealth_bpm
0.022001,ihealth_bpm
0.030256,ihealth_bpm
0.030255,ihealth_bpm
0.002749,ihealth_bpm
0.024753,ihealth_bpm
0.024754,ihealth_bpm
0.024864,ihealth_bpm
0.002716,ihealth_bpm
0.021935,ihealth_bpm
0.033034,ihealth_bpm
0.018478,ihealth_bpm
0.005534,ihealth_bpm
0.021912,ihealth_bpm
0.046754,ihealth_bpm
0.019252,ihealth_bpm
0.005501,ihealth_bpm
0.022003,ihealth_bpm
0.030257,ihealth_bpm
0.027502,ihealth_bpm
0.005501,ihealth_bpm
0.035756,ihealth_bpm
0.013758,ihealth_bpm
0.005494,ihealth_bpm
0.022002,ihealth_bpm
0.024753,ihealth_bpm
0.027505,ihealth_bpm
0.005502,ihealth_bpm
0.035753,ihealth_bpm
0.030256,ihealth_bpm
0.005499,ihealth_bpm
0.016586,ihealth_bpm
0.024673,ihealth_bpm
0.0165,ihealth_bpm
0.0055,ihealth_bpm
0.024754,ihealth_bpm
0.005501,ihealth_bpm
0.011001,ihealth_bpm
0.024754,ihealth_bpm
0.002749,ihealth_bpm
0.024755,ihealth_bpm
0.030253,ihealth_bpm
0.019289,ihealth_bpm
0.03847,ihealth_bpm
0.016502,ihealth_bpm
0.024753,ihealth_bpm
0.024753,ihealth_bpm
0.024754,ihealth_bpm
0.033005,ihealth_bpm
0.0055,ihealth_bpm
0.011002,ihealth_bpm
0.030266,ihealth_bpm
0.021992,ihealth_bpm
0.024752,ihealth_bpm
0.019254,ihealth_bpm
0.0055,ihealth_bpm
0.024753,ihealth_bpm
0.02203,ihealth_bpm
0.027479,ihealth_bpm
0.019251,ihealth_bpm
0.005502,ihealth_bpm
0.022003,ihealth_bpm
0.019251,ihealth_bpm
0.024755,ihealth_bpm
0.035754,ihealth_bpm
0.022004,ihealth_bpm
0.030254,ihealth_bpm
0.005502,ihealth_bpm
0.016504,ihealth_bpm
0.022001,ihealth_bpm
0.0055,ihealth_bpm
0.019252,ihealth_bpm
0.005501,ihealth_bpm
0.027505,ihealth_bpm
0.005499,ihealth_bpm
0.013753,ihealth_bpm
0.002752,ihealth_bpm
0.030253,ihealth_bpm
0.046756,ihealth_bpm
0.016503,ihealth_bpm
0.024753,ihealth_bpm
0.005536,ihealth_bpm
0.035775,ihealth_bpm
0.030199,ihealth_bpm
0.005499,ihealth_bpm
0.019253,ihealth_bpm
0.024754,ihealth_bpm
0.019254,ihealth_bpm
0.005499,ihealth_bpm
0.024754,ihealth_bpm
0.027504,ihealth_bpm
0.027504,ihealth_bpm
0.024753,ihealth_bpm
0.027505,ihealth_bpm
0.030254,ihealth_bpm
0.022002,ihealth_bpm
0.011002,ihealth_bpm
0.0055,ihealth_bpm
0.024755,ihealth_bpm
0.019252,ihealth_bpm
0.024754,ihealth_bpm
0.019263,ihealth_bpm
0.022028,ihealth_bpm
0.024719,ihealth_bpm
0.022003,ihealth_bpm
0.019252,ihealth_bpm
0.030268,ihealth_bpm
0.041242,ihealth_bpm
0.02751,ihealth_bpm
0.013745,ihealth_bpm
0.024753,ihealth_bpm
0.024753,ihealth_bpm
0.019253,ihealth_bpm
0.033005,ihealth_bpm
0.024754,ihealth_bpm
0.024753,ihealth_bpm
0.019254,ihealth_bpm
0.030259,ihealth_bpm
0.021997,ihealth_bpm
0.005502,ihealth_bpm
0.027503,ihealth_bpm
0.019252,ihealth_bpm
0.019253,ihealth_bpm
0.022004,ihealth_bpm
0.035755,ihealth_bpm
0.022003,ihealth_bpm
0.005503,ihealth_bpm
0.013756,ihealth_bpm
0.024778,ihealth_bpm
0.030223,ihealth_bpm
0.016502,ihealth_bpm
0.024755,ihealth_bpm
0.030254,ihealth_bpm
0.027502,ihealth_bpm
0.005501,ihealth_bpm
0.027505,ihealth_bpm
0.005499,ihealth_bpm
0.016544,ihealth_bpm
0.027465,ihealth_bpm
0.024763,ihealth_bpm
0.060499,ihealth_bpm
0.016502,ihealth_bpm
0.030254,ihealth_bpm
0.024762,ihealth_bpm
0.005495,ihealth_bpm
0.024784,ihealth_bpm
0.005468,ihealth_bpm
0.016503,ihealth_bpm
0.005502,ihealth_bpm
0.016501,ihealth_bpm
0.022033,ihealth_bpm
0.030278,ihealth_bpm
0.005468,ihealth_bpm
0.016483,ihealth_bpm
0.027505,ihealth_bpm
0.024751,ihealth_bpm
0.027504,ihealth_bpm
0.027511,ihealth_bpm
0.019246,ihealth_bpm
0.022003,ihealth_bpm
0.022002,ihealth_bpm
0.035763,ihealth_bpm
0.021996,ihealth_bpm
0.024753,ihealth_bpm
0.005505,ihealth_bpm
0.021998,ihealth_bpm
0.027504,ihealth_bpm
0.022003,ihealth_bpm
0.005503,ihealth_bpm
0.024752,ihealth_bpm
0.030256,ihealth_bpm
0.046755,ihealth_bpm
0.02201,ihealth_bpm
0.027497,ihealth_bpm
0.049506,ihealth_bpm
0.024753,ihealth_bpm
0.024753,ihealth_bpm
0.022003,ihealth_bpm
0.005502,ihealth_bpm
0.046755,ihealth_bpm
0.030261,ihealth_bpm
0.024748,ihealth_bpm
0.027504,ihealth_bpm
0.019251,ihealth_bpm
0.022004,ihealth_bpm
0.005501,ihealth_bpm
0.019253,ihealth_bpm
0.01925,ihealth_bpm
0.022015,ihealth_bpm
0.049532,ihealth_bpm
0.035719,ihealth_bpm
0.027505,ihealth_bpm
0.006371,ihealth_bpm
0.017634,ihealth_bpm
0.038502,ihealth_bpm
0.027504,ihealth_bpm
0.022004,ihealth_bpm
